UNITID,total_faculty,female_faculty_percent,male_faculty_percent,diversity_category,faculty_size_category,faculty_description,diversity_index,asian_faculty_percent,black_faculty_percent,hispanic_faculty_percent,white_faculty_percent
199120,12336,52.8,47.2,Moderate,Very Large,"12,336+ faculty (extensive resources) | Gender-balanced faculty (52.8% female) | Moderately diverse faculty",0.49,9.5,7.5,6.5,69.9
187985,12210,52.3,47.7,High,Very Large,"12,210+ faculty (extensive resources) | Gender-balanced faculty (52.3% female) | Highly diverse faculty | Strong 16.0% hispanic faculty representation",0.619,11.0,1.9,16.0,58.1
163259,12198,51.0,49.0,Moderate,Very Large,"12,198+ faculty (extensive resources) | Gender-balanced faculty (51.0% female) | Moderately diverse faculty | Strong 23.2% asian faculty representation",0.592,23.2,10.1,3.7,58.5
221759,11790,50.6,49.4,Moderate,Very Large,"11,790+ faculty (extensive resources) | Gender-balanced faculty (50.6% female) | Moderately diverse faculty",0.415,8.4,4.6,4.7,75.6
190415,11664,44.1,55.9,Moderate,Very Large,"11,664+ faculty (extensive resources) | Gender-balanced faculty (44.1% female) | Moderately diverse faculty",0.484,12.4,3.9,4.6,70.1
176017,11512,49.8,50.2,Moderate,Very Large,"11,512+ faculty (extensive resources) | Gender-balanced faculty (49.8% female) | Moderately diverse faculty",0.494,10.7,8.6,4.2,69.5
196088,11385,44.3,55.7,Moderate,Very Large,"11,385+ faculty (extensive resources) | Gender-balanced faculty (44.3% female) | Moderately diverse faculty | Strong 15.2% asian faculty representation",0.462,15.2,4.0,3.0,71.4
110635,11306,44.8,55.2,High,Very Large,"11,306+ faculty (extensive resources) | Gender-balanced faculty (44.8% female) | Highly diverse faculty | Strong 16.5% asian faculty representation",0.618,16.5,4.3,7.8,58.4
199193,11032,44.3,55.7,Moderate,Very Large,"11,032+ faculty (extensive resources) | Gender-balanced faculty (44.3% female) | Moderately diverse faculty",0.516,11.8,5.2,5.5,67.9
163286,11017,42.7,57.3,High,Very Large,"11,017+ faculty (extensive resources) | Gender-balanced faculty (42.7% female) | Highly diverse faculty",0.627,13.9,8.0,6.3,57.8
135081,10926,64.1,35.9,Moderate,Very Large,"10,926+ faculty (extensive resources) | Female-majority faculty (64.1%) | Moderately diverse faculty | Strong 16.4% hispanic faculty representation",0.585,4.7,12.9,16.4,60.7
167358,10856,47.0,53.0,High,Very Large,"10,856+ faculty (extensive resources) | Gender-balanced faculty (47.0% female) | Highly diverse faculty",0.632,7.7,3.7,4.4,56.2
239169,10836,43.4,56.6,Moderate,Very Large,"10,836+ faculty (extensive resources) | Gender-balanced faculty (43.4% female) | Moderately diverse faculty | Strong 20.4% asian faculty representation",0.434,20.4,3.3,2.8,72.3
218663,10731,49.1,50.9,Moderate,Very Large,"10,731+ faculty (extensive resources) | Gender-balanced faculty (49.1% female) | Moderately diverse faculty",0.428,11.1,7.1,3.6,74.3
166708,10606,46.2,53.8,Moderate,Very Large,"10,606+ faculty (extensive resources) | Gender-balanced faculty (46.2% female) | Moderately diverse faculty | Strong 21.7% asian faculty representation",0.562,21.7,2.6,4.0,61.9
179867,10317,39.6,60.4,Moderate,Very Large,"10,317+ faculty (extensive resources) | Male-majority faculty (60.4%) | Moderately diverse faculty | Strong 17.6% asian faculty representation",0.478,17.6,4.7,4.2,69.8
126818,9898,50.8,49.2,Moderate,Very Large,"9,898+ faculty (extensive resources) | Gender-balanced faculty (50.8% female) | Moderately diverse faculty",0.384,7.6,1.0,6.6,77.6
243780,9859,31.6,68.4,High,Very Large,"9,859+ faculty (extensive resources) | Male-majority faculty (68.4%) | Highly diverse faculty | Strong 23.3% asian faculty representation",0.617,23.3,2.9,5.3,56.3
139658,9724,47.4,52.6,Moderate,Very Large,"9,724+ faculty (extensive resources) | Gender-balanced faculty (47.4% female) | Moderately diverse faculty | Strong 17.5% asian faculty representation",0.54,17.5,8.0,4.6,64.7
172644,9698,46.9,53.1,Moderate,Very Large,"9,698+ faculty (extensive resources) | Gender-balanced faculty (46.9% female) | Moderately diverse faculty | Strong 19.1% asian faculty representation",0.546,19.1,9.6,2.6,63.8
160755,9611,45.6,54.4,Moderate,Very Large,"9,611+ faculty (extensive resources) | Gender-balanced faculty (45.6% female) | Moderately diverse faculty",0.546,13.7,5.5,6.2,65.2
100751,9533,49.7,50.3,Moderate,Very Large,"9,533+ faculty (extensive resources) | Gender-balanced faculty (49.7% female) | Moderately diverse faculty",0.416,9.8,5.8,3.1,75.4
157085,9444,45.8,54.2,Moderate,Very Large,"9,444+ faculty (extensive resources) | Gender-balanced faculty (45.8% female) | Moderately diverse faculty",0.424,12.1,5.0,4.5,74.6
134097,9403,44.7,55.3,Moderate,Very Large,"9,403+ faculty (extensive resources) | Gender-balanced faculty (44.7% female) | Moderately diverse faculty",0.521,12.5,5.7,6.2,67.4
227368,9239,45.8,54.2,High,Very Large,"9,239+ faculty (extensive resources) | Gender-balanced faculty (45.8% female) | Highly diverse faculty | Strong 45.7% hispanic faculty representation",0.684,13.3,2.3,45.7,29.2
135726,9143,39.6,60.4,High,Very Large,"9,143+ faculty (extensive resources) | Male-majority faculty (60.4%) | Highly diverse faculty | Strong 19.0% hispanic faculty representation",0.611,11.2,5.2,19.0,58.0
217882,9080,44.8,55.2,Moderate,Very Large,"9,080+ faculty (extensive resources) | Gender-balanced faculty (44.8% female) | Moderately diverse faculty",0.472,10.5,4.0,4.2,71.4
232186,9067,49.1,50.9,Moderate,Very Large,"9,067+ faculty (extensive resources) | Gender-balanced faculty (49.1% female) | Moderately diverse faculty | Strong 15.5% asian faculty representation",0.554,15.5,6.1,3.5,64.2
126614,9006,42.3,57.7,Moderate,Very Large,"9,006+ faculty (extensive resources) | Gender-balanced faculty (42.3% female) | Moderately diverse faculty",0.544,9.5,2.5,6.8,65.5
132903,9005,46.1,53.9,Moderate,Very Large,"9,005+ faculty (extensive resources) | Gender-balanced faculty (46.1% female) | Moderately diverse faculty",0.529,14.1,4.9,9.4,66.2
236939,8864,47.2,52.8,High,Very Large,"8,864+ faculty (extensive resources) | Gender-balanced faculty (47.2% female) | Highly diverse faculty",0.645,10.4,1.3,3.7,52.3
166629,8830,49.0,51.0,Moderate,Very Large,"8,830+ faculty (extensive resources) | Gender-balanced faculty (49.0% female) | Moderately diverse faculty",0.499,13.6,4.4,4.1,69.0
228459,8706,51.4,48.6,Moderate,Very Large,"8,706+ faculty (extensive resources) | Gender-balanced faculty (51.4% female) | Moderately diverse faculty | Strong 15.2% hispanic faculty representation",0.56,6.4,2.3,15.2,63.7
229115,8660,44.6,55.4,Moderate,Very Large,"8,660+ faculty (extensive resources) | Gender-balanced faculty (44.6% female) | Moderately diverse faculty",0.521,13.5,2.7,9.0,66.9
153603,8530,41.6,58.4,Moderate,Very Large,"8,530+ faculty (extensive resources) | Gender-balanced faculty (41.6% female) | Moderately diverse faculty | Strong 17.0% asian faculty representation",0.46,17.0,2.4,3.7,71.2
207500,8486,46.0,54.0,Moderate,Very Large,"8,486+ faculty (extensive resources) | Gender-balanced faculty (46.0% female) | Moderately diverse faculty",0.545,9.7,3.5,3.7,65.8
106397,8472,48.1,51.9,Moderate,Very Large,"8,472+ faculty (extensive resources) | Gender-balanced faculty (48.1% female) | Moderately diverse faculty",0.511,9.3,3.4,4.8,68.5
221999,8436,53.2,46.8,Moderate,Very Large,"8,436+ faculty (extensive resources) | Gender-balanced faculty (53.2% female) | Moderately diverse faculty",0.58,6.5,3.9,4.0,60.8
487010,8406,46.1,53.9,Moderate,Very Large,"8,406+ faculty (extensive resources) | Gender-balanced faculty (46.1% female) | Moderately diverse faculty | Strong 15.3% asian faculty representation",0.517,15.3,8.1,2.7,67.0
133951,8320,46.4,53.6,High,Very Large,"8,320+ faculty (extensive resources) | Gender-balanced faculty (46.4% female) | Highly diverse faculty | Strong 24.0% hispanic faculty representation",0.7,13.9,7.6,24.0,46.0
131496,8316,49.4,50.6,High,Very Large,"8,316+ faculty (extensive resources) | Gender-balanced faculty (49.4% female) | Highly diverse faculty",0.607,10.3,6.0,3.5,59.9
212054,8279,50.9,49.1,Moderate,Very Large,"8,279+ faculty (extensive resources) | Gender-balanced faculty (50.9% female) | Moderately diverse faculty",0.527,9.9,5.6,3.7,67.0
157289,8253,49.8,50.2,Moderate,Very Large,"8,253+ faculty (extensive resources) | Gender-balanced faculty (49.8% female) | Moderately diverse faculty",0.513,8.6,6.6,3.2,68.2
100858,8118,43.6,56.4,Moderate,Very Large,"8,118+ faculty (extensive resources) | Gender-balanced faculty (43.6% female) | Moderately diverse faculty",0.462,11.7,4.7,4.1,71.9
198464,8103,52.3,47.7,Moderate,Very Large,"8,103+ faculty (extensive resources) | Gender-balanced faculty (52.3% female) | Moderately diverse faculty",0.521,7.9,6.7,5.5,67.7
225511,8066,41.8,58.2,High,Very Large,"8,066+ faculty (extensive resources) | Gender-balanced faculty (41.8% female) | Highly diverse faculty | Strong 21.1% asian faculty representation",0.627,21.1,5.4,8.7,56.1
201645,8048,45.5,54.5,Moderate,Very Large,"8,048+ faculty (extensive resources) | Gender-balanced faculty (45.5% female) | Moderately diverse faculty",0.439,14.1,4.2,2.9,73.2
483124,8040,55.4,44.6,Moderate,Very Large,"8,040+ faculty (extensive resources) | Gender-balanced faculty (55.4% female) | Moderately diverse faculty",0.558,8.1,2.8,8.4,64.4
131469,7908,49.6,50.4,Moderate,Very Large,"7,908+ faculty (extensive resources) | Gender-balanced faculty (49.6% female) | Moderately diverse faculty | Strong 16.1% asian faculty representation",0.501,16.1,8.2,4.4,68.1
207388,7856,43.9,56.1,Moderate,Very Large,"7,856+ faculty (extensive resources) | Gender-balanced faculty (43.9% female) | Moderately diverse faculty",0.543,11.3,2.6,3.9,65.4
211440,7841,34.7,65.3,High,Very Large,"7,841+ faculty (extensive resources) | Male-majority faculty (65.3%) | Highly diverse faculty",0.613,13.0,2.8,3.4,58.4
130943,7760,50.5,49.5,Moderate,Very Large,"7,760+ faculty (extensive resources) | Gender-balanced faculty (50.5% female) | Moderately diverse faculty",0.482,13.3,5.6,4.4,70.1
150987,7749,59.5,40.5,Low,Very Large,"7,749+ faculty (extensive resources) | Gender-balanced faculty (59.5% female) | Emerging faculty diversity",0.268,1.8,6.9,2.0,85.2
159391,7733,44.1,55.9,Moderate,Very Large,"7,733+ faculty (extensive resources) | Gender-balanced faculty (44.1% female) | Moderately diverse faculty",0.53,10.8,5.1,5.1,66.7
152080,7728,34.0,66.0,Moderate,Very Large,"7,728+ faculty (extensive resources) | Male-majority faculty (66.0%) | Moderately diverse faculty",0.485,9.5,2.4,6.2,70.5
238032,7644,47.2,52.8,Moderate,Very Large,"7,644+ faculty (extensive resources) | Gender-balanced faculty (47.2% female) | Moderately diverse faculty",0.405,9.5,2.5,2.4,76.2
181464,7542,43.0,57.0,Moderate,Very Large,"7,542+ faculty (extensive resources) | Gender-balanced faculty (43.0% female) | Moderately diverse faculty",0.444,13.2,2.8,5.1,73.0
209542,7535,44.2,55.8,Moderate,Very Large,"7,535+ faculty (extensive resources) | Gender-balanced faculty (44.2% female) | Moderately diverse faculty",0.565,9.0,1.5,5.4,63.4
227182,7453,57.4,42.6,Moderate,Very Large,"7,453+ faculty (extensive resources) | Gender-balanced faculty (57.4% female) | Moderately diverse faculty",0.587,7.6,13.2,12.9,61.0
486840,7395,50.5,49.5,Moderate,Very Large,"7,395+ faculty (extensive resources) | Gender-balanced faculty (50.5% female) | Moderately diverse faculty",0.551,14.9,10.2,4.3,64.3
139940,7337,51.5,48.5,Moderate,Very Large,"7,337+ faculty (extensive resources) | Gender-balanced faculty (51.5% female) | Moderately diverse faculty",0.597,12.8,14.9,4.1,59.9
168148,7252,54.3,45.7,Moderate,Very Large,"7,252+ faculty (extensive resources) | Gender-balanced faculty (54.3% female) | Moderately diverse faculty",0.539,12.9,2.8,5.4,65.9
182281,7148,44.7,55.3,Moderate,Very Large,"7,148+ faculty (extensive resources) | Gender-balanced faculty (44.7% female) | Moderately diverse faculty | Strong 19.1% asian faculty representation",0.586,19.1,5.6,6.7,60.6
196413,7082,46.9,53.1,Moderate,Very Large,"7,082+ faculty (extensive resources) | Gender-balanced faculty (46.9% female) | Moderately diverse faculty",0.515,13.3,6.3,4.0,67.7
105330,7061,54.8,45.2,Moderate,Very Large,"7,061+ faculty (extensive resources) | Gender-balanced faculty (54.8% female) | Moderately diverse faculty",0.442,6.2,1.7,6.4,73.9
134237,7047,28.1,71.9,Moderate,Very Large,"7,047+ faculty (extensive resources) | Male-majority faculty (71.9%) | Moderately diverse faculty",0.415,1.7,7.4,11.0,75.2
136215,6893,55.4,44.6,Moderate,Very Large,"6,893+ faculty (extensive resources) | Gender-balanced faculty (55.4% female) | Moderately diverse faculty | Strong 16.6% hispanic faculty representation",0.598,9.2,7.8,16.6,59.7
199139,6883,51.9,48.1,Moderate,Very Large,"6,883+ faculty (extensive resources) | Gender-balanced faculty (51.9% female) | Moderately diverse faculty",0.526,11.5,8.8,4.1,66.8
223232,6763,49.2,50.8,Moderate,Very Large,"6,763+ faculty (extensive resources) | Gender-balanced faculty (49.2% female) | Moderately diverse faculty",0.412,7.5,4.0,6.8,75.8
110583,6689,53.0,47.0,High,Very Large,"6,689+ faculty (extensive resources) | Gender-balanced faculty (53.0% female) | Highly diverse faculty | Strong 18.8% asian faculty representation",0.647,18.8,5.4,12.9,54.3
230038,6654,22.6,77.4,Low,Very Large,"6,654+ faculty (extensive resources) | Male-majority faculty (77.4%) | Emerging faculty diversity",0.142,1.9,0.4,1.2,92.6
170082,6625,51.5,48.5,Moderate,Very Large,"6,625+ faculty (extensive resources) | Gender-balanced faculty (51.5% female) | Moderately diverse faculty",0.373,7.6,3.2,3.5,78.6
146719,6620,52.6,47.4,Moderate,Very Large,"6,620+ faculty (extensive resources) | Gender-balanced faculty (52.6% female) | Moderately diverse faculty",0.469,7.4,5.4,6.7,71.8
228769,6556,50.7,49.3,High,Very Large,"6,556+ faculty (extensive resources) | Gender-balanced faculty (50.7% female) | Highly diverse faculty",0.7,14.9,5.8,6.3,49.6
229027,6518,41.6,58.4,High,Very Large,"6,518+ faculty (extensive resources) | Gender-balanced faculty (41.6% female) | Highly diverse faculty | Strong 20.4% hispanic faculty representation",0.707,14.4,2.6,20.4,46.7
197869,6508,52.0,48.0,Low,Very Large,"6,508+ faculty (extensive resources) | Gender-balanced faculty (52.0% female) | Emerging faculty diversity",0.257,4.6,2.0,0.8,86.0
482149,6502,46.5,53.5,Moderate,Very Large,"6,502+ faculty (extensive resources) | Gender-balanced faculty (46.5% female) | Moderately diverse faculty",0.538,13.1,6.3,5.6,65.9
195003,6457,40.0,60.0,Moderate,Very Large,"6,457+ faculty (extensive resources) | Male-majority faculty (60.0%) | Moderately diverse faculty",0.491,11.0,3.3,6.0,69.8
224615,6447,53.7,46.3,High,Very Large,"6,447+ faculty (extensive resources) | Gender-balanced faculty (53.7% female) | Highly diverse faculty | Strong 21.7% black faculty representation",0.687,9.4,21.7,14.2,48.4
209551,6243,46.9,53.1,Moderate,Very Large,"6,243+ faculty (extensive resources) | Gender-balanced faculty (46.9% female) | Moderately diverse faculty",0.5,9.7,2.5,6.7,69.3
110565,6230,53.7,46.3,High,Very Large,"6,230+ faculty (extensive resources) | Gender-balanced faculty (53.7% female) | Highly diverse faculty | Strong 21.1% asian faculty representation",0.634,21.1,4.1,13.1,54.8
131520,6200,50.3,49.7,Moderate,Very Large,"6,200+ faculty (extensive resources) | Gender-balanced faculty (50.3% female) | Moderately diverse faculty | Strong 60.7% black faculty representation",0.584,13.4,60.7,3.6,16.0
240453,6082,50.5,49.5,Moderate,Very Large,"6,082+ faculty (extensive resources) | Gender-balanced faculty (50.5% female) | Moderately diverse faculty",0.442,13.5,4.2,4.0,73.1
227216,6080,45.9,54.1,Moderate,Very Large,"6,080+ faculty (extensive resources) | Gender-balanced faculty (45.9% female) | Moderately diverse faculty | Strong 20.9% asian faculty representation",0.582,20.9,5.0,6.8,60.4
110705,6058,45.3,54.7,Moderate,Very Large,"6,058+ faculty (extensive resources) | Gender-balanced faculty (45.3% female) | Moderately diverse faculty",0.595,11.8,3.4,7.5,61.1
